builder,typecode,speed
AIRBUS,32N,800.0
AIRBUS,330-243MRTT,800.0
AIRBUS,A19N,833.400
AIRBUS,A20N,833.400
AIRBUS,A21N,833.400
AIRBUS,A306,870.44
AIRBUS,A30B,870.44
AIRBUS,A310,888.96
AIRBUS,A318,851.920
AIRBUS,A319,833.400
AIRBUS,A319-111,800.0
AIRBUS,A320,833.400
AIRBUS,A320-200,800.0
AIRBUS,A320-214,800.0
AIRBUS,A320-271N,800.0
AIRBUS,A321,833.400
AIRBUS,A32N,800.0
AIRBUS,A330,800.0
AIRBUS,A332,870.44
AIRBUS,A333,879.7
AIRBUS,A337,800.0
AIRBUS,A339,800.0
AIRBUS,A342,907.48
AIRBUS,A343,907.48
AIRBUS,A345,888.96
AIRBUS,A346,888.96
AIRBUS,A350,800.0
AIRBUS,A359,901.924
AIRBUS,A35K,800.0
AIRBUS,A388,963.040
AIRBUS,A400,779.692
BOEING,B138,800.0
BOEING,B17,800.0
BOEING,B29,800.0
BOEING,B38M,800.0
BOEING,B39M,800.0
BOEING,B701,870.44
BOEING,B712,805.62
BOEING,B721,870.44
BOEING,B722,870.44
BOEING,B732,740.800
BOEING,B733,794.508
BOEING,B734,796.36
BOEING,B735,796.36
BOEING,B736,851.920
BOEING,B737,851.920
BOEING,B738,851.920
BOEING,B739,851.920
BOEING,B741,926.0
BOEING,B742,916.74
BOEING,B743,909.332
BOEING,B744,944.520
BOEING,B748,944.520
BOEING,B74R,926.0
BOEING,B74S,990.82
BOEING,B752,870.44
BOEING,B753,907.48
BOEING,B762,870.44
BOEING,B763,851.920
BOEING,B764,851.920
BOEING,B772,888.96
BOEING,B773,907.48
BOEING,B77F,800.0
BOEING,B77L,907.48
BOEING,B77W,907.48
BOEING,B783,800.0
BOEING,B788,907.48
BOEING,B789,907.48
BOEING,B78X,800.0
BOEING,BLCF,877.848
BOEING,BTX1,800.0
BOEING,C135,853.772
BOEING,E3CF,885.256
BOEING,E3TF,885.256
BOEING,E6,888.96
BOEING,E737,851.920
BOEING,K35R,985.264
BOEING,P8,800.0
BOEING,R135,900.072
EMBRAER,AMX,800.0
EMBRAER,E110,407.44
EMBRAER,E121,450.036
EMBRAER,E135,833.400
EMBRAER,E170,851.920
EMBRAER,E175,800.0
EMBRAER,E190,851.920
EMBRAER,E195,833.400
EMBRAER,E290,800.0
EMBRAER,E295,800.0
EMBRAER,E314,800.0
EMBRAER,E45X,853.772
EMBRAER,E50P,703.76
EMBRAER,E545,855.624
EMBRAER,E550,863.032
EMBRAER,E55P,833.400
EMBRAER,E75L,800.0
EMBRAER,E75S,800.0
EMBRAER,KC39,800.0
LEARJET,LJ31,857.476
LEARJET,LJ35,774.136
LEARJET,LJ40,846.364
LEARJET,LJ45,846.364
LEARJET,LJ55,740.800
LEARJET,LJ60,838.956
LEARJET,LJ70,800.0
LEARJET,LJ75,800.0
RAYTHEON,B190,518.560
RAYTHEON,B350,555.6
RAYTHEON,BE20,481.52
RAYTHEON,BE30,583.38
RAYTHEON,BE33,298.172
RAYTHEON,BE36,325.952
RAYTHEON,BE40,820.436
RAYTHEON,BE58,333.36
RAYTHEON,GLEX,851.920
RAYTHEON,H25B,857.476
RAYTHEON,H25C,866.736
RAYTHEON,HA4T,800.0
RAYTHEON,PRM1,833.400
RAYTHEON,STAR,620.420
RAYTHEON,TEX2,800.0
